"","Names","ALB","ARE","ARG","AUS","AUT","BEL","BGR","BIH","BLR","BRA","BRN","CAN","CHE","CHL","COL","CRI","CZE","DEU","DNK","DOM","ESP","EST","FIN","FRA","GBR","GEO","GRC","HRV","HUN","IDN","IRL","ISL","ISR","ITA","JOR","JPN","KAZ","KOR","KSV","LBN","LTU","LUX","LVA","MAR","MDA","MEX","MKD","MLT","MNE","MYS","NLD","NOR","NZL","PAN","PER","PHL","POL","PRT","QAT","ROU","RUS","SAU","SGP","SRB","SVK","SVN","SWE","TAP","THA","TUR","UKR","URY","USA","VNM"
"48","LMU3R9","0.0472222310751854","0.276482037901116","0.193656623283298","0.242829309987095","0.086832547793252","0.0579535779391181","-0.129953125447742","-0.200513824760247","0.215951966792533","-0.0349859696219346","0.0493008197756258","0.197091125504109","0.286781412720929","0.193009566669943","0.262743822637054","0.217982285280613","0.0573818938535032","0.200294057960594","0.215954890742665","-0.417223334392378","0.148278399442347","0.0689728981472588","0.213295063667361","0.198280628060971","0.19126084300608","0.0631990758127324","0.160500684495302","0.215107521477272","0.0104381210734902","-0.0141178667526955","0.179371539666453","0.258150049011226","0.426826979488484","0.264390345367308","0.452444171061132","0.336928107908941","0.075689708667066","0.287773593624282","-0.0403107339713704","-0.252935103670294","0.0877277907641466","0.225738837853993","0.161897279560308","-0.082092378147279","0.170310899600158","-0.0188754519901305","0.00110932089160015","0.364005538451585","0.16413827221304","-0.0198825362993106","0.189935734314881","0.332619354456524","0.222577737443162","-0.0721289687654782","-0.202610484901806","-0.555171248261049","0.207966680183683","0.146351024443329","0.193645514136119","0.0937841690069437","0.245305824937404","0.204123777387219","0.319741875837566","0.0894200478786572","-0.0276096676340845","0.232660711125912","0.164615669560452","0.270196935585283","0.0108848758130952","0.199173225683511","0.256581476195098","0.0520157698420273","0.255819728819553","0.272260879581175"
"49","LMU3R10","0.0371493454159368","0.279257761746738","0.162157152307385","0.225767034464485","0.0891967193580205","0.072729713148952","-0.132334033268525","-0.1891249918912","0.204923375792078","-0.0278695129403965","0.0622340087043764","0.185954575418586","0.267252873399227","0.192317011255637","0.25798998645133","0.201828550875262","0.0535601882478437","0.19602253174268","0.208086332030852","-0.365894907357849","0.133809992370898","0.0530725118588247","0.205707036554071","0.183962048173196","0.184394167640111","0.0695046157517833","0.17495889931755","0.190793684076632","0.0282821679911339","-0.000572329105645899","0.176032156191063","0.236982588404709","0.419630780719102","0.237348287819969","0.417185019827697","0.312894007900504","0.0831561104804661","0.271758573365909","-0.0322460702021602","-0.234504531098466","0.0859634989077975","0.217364433699723","0.161537530697791","-0.0537854342332992","0.15573694039357","-0.0252584423068598","0.0106518266027024","0.37013725098248","0.148924127450671","-0.0170505901611438","0.189137374704256","0.302313410695867","0.210028026732562","-0.0446892386164939","-0.180083749009187","-0.533677913274783","0.200537550348847","0.153928440741104","0.198910085388191","0.0945204613518183","0.23304026376008","0.204531044504475","0.291866448827864","0.0874721515293827","-0.0259754462793081","0.218998773014045","0.159519683771411","0.255313170385314","0.0218349738360265","0.183281680422888","0.237608025149467","0.0638909254436705","0.231742877507664","0.246367493115063"
"50","LMU3R11","0.0502618693135128","0.280433014723125","0.153693719646052","0.205127728721852","0.0838395435886627","0.0752109015231519","-0.12024548097806","-0.179256796662209","0.191394700033332","-0.0145892320232697","0.0763834420437535","0.178592554876542","0.240011251989328","0.166479163132565","0.245744924563892","0.204859695795463","0.0464453686484609","0.184524281939088","0.197329608221481","-0.321255163014902","0.12494724875357","0.0469542601652415","0.201512239159977","0.178685189286698","0.171287985863825","0.0590999387708311","0.163000400951844","0.176237679580484","0.0348431972240302","0.0126485281755713","0.169182862375701","0.230074352139044","0.40269160021173","0.219017276914289","0.390919749400291","0.286489070477905","0.0788779708692548","0.248824757534492","0.00234235701551878","-0.222918163157705","0.0767797952268596","0.204057140708275","0.155311193533708","-0.0450291274425221","0.1408493095974","-0.0250250380939126","0.0208082858246723","0.352436184061176","0.146254343761378","-0.0159151574097696","0.180173266723413","0.27209787310905","0.193157033035361","-0.0286008003975479","-0.159307661218003","-0.507167311155821","0.186925852861903","0.13994426982566","0.205153864336767","0.081639203542933","0.226457352912249","0.201036292550553","0.267567853096198","0.0889171931677967","-0.0197559853993587","0.197256435324684","0.158351908156028","0.228694860193987","0.0204020535634982","0.169161619424192","0.229631205525126","0.0552186267306518","0.214148470753867","0.234373699317429"
"51","LMU3R12","0.0561420861081929","0.260693585784825","0.152510230247978","0.195917631816138","0.0873859245229009","0.0753655239561306","-0.111411133819411","-0.174240204735208","0.182341341809197","-0.0033524050481752","0.0943456243538014","0.173680143137734","0.209998545483285","0.159628912844283","0.226776694789997","0.19463423427583","0.046155202999935","0.165511453699372","0.183140514296546","-0.275868489738685","0.106671716818694","0.051041781713324","0.198971086226507","0.175254526223389","0.154671567280982","0.0491252946232071","0.157608256873618","0.173307894477882","0.0307518898727181","0.0197012753135028","0.154353480043946","0.226194829660613","0.393763033719713","0.207848027511178","0.36913328229965","0.269232310579219","0.0694790453958245","0.240275661654603","0.0135624195490422","-0.205084994716598","0.0710146896400723","0.198720574968764","0.150125441308269","-0.0380567881110381","0.144080977448039","-0.0154077132226956","0.0365422634021683","0.346745706532558","0.137674515971885","-0.0166454734894551","0.173908563179371","0.253934071566685","0.182761116032805","-0.00562051029950349","-0.148655334488888","-0.479305556305656","0.182767815145501","0.125138709309778","0.208091752579779","0.0704517739851862","0.218072653312848","0.191640432695326","0.244973533000528","0.0885830949344365","-0.00887945640928439","0.183161221536181","0.147263481238584","0.210665212497424","0.00887093699201389","0.154021171383162","0.227576978859159","0.0626250381741329","0.197370689149035","0.213907841860969"
"52","LMU3R13","0.0399572810826829","0.249649959371457","0.144699999077517","0.177631427255243","0.0861039738258515","0.0785448262309957","-0.0891385448315105","-0.155225459181854","0.185039813090663","0.00683580643481304","0.106370639285995","0.166400179742569","0.193700769365604","0.144693745030452","0.221820934490687","0.183562444275125","0.0450792473037191","0.154633898892334","0.181822763650568","-0.273213333143776","0.104773862270294","0.0443341287930437","0.189270195018082","0.167908473081577","0.143811829073353","0.0535170993120462","0.145346706777516","0.153274309026066","0.0307245493004649","0.0169269060650915","0.1377514854248","0.204611537880824","0.377740363552273","0.200274763494893","0.342811722568706","0.24640392615266","0.0685861678016232","0.233322121032887","0.0292258218085495","-0.192996492606897","0.070754660453124","0.185685351469112","0.131474061262876","-0.0306187652953517","0.137565429624964","0.00240093154021378","0.0329338635436033","0.34131908308139","0.132197116059152","-0.0159636188711714","0.162226901101213","0.237905864750903","0.183607137710059","0.0103990716614773","-0.10973291806768","-0.451295446033283","0.171660541956915","0.112656008225376","0.210598360322046","0.071260786616578","0.196896693586602","0.186971611664756","0.219161717876108","0.0902799866865382","-0.0106735882114024","0.165889936144916","0.134405708372521","0.189778140166621","0.00802122521766054","0.140469188368093","0.223504889772793","0.0707994729357916","0.179698900832836","0.196483419825041"
"53","LMU3R14","0.0356644452010221","0.240814900590839","0.134187982137072","0.166451496377521","0.0922014468162742","0.0705418913934613","-0.0816401200737083","-0.149100779750214","0.178278378047523","0.0108523032220945","0.103753767476467","0.160248686420299","0.177251566633581","0.139317701038026","0.222082128997375","0.163603481927114","0.0544566897351612","0.144259623441617","0.169781766680046","-0.253530423959465","0.0982222595681634","0.0487066959100972","0.168279876929557","0.163617481635918","0.137225516827394","0.0556790676968294","0.137603922377555","0.14571343604357","0.0337509242860419","0.0136243638077661","0.13634970451938","0.197181326709308","0.356799255793395","0.195931181728695","0.319330326923517","0.227041742028387","0.0649131409022892","0.224734230909601","0.0312494824995069","-0.170970931490645","0.0757162915919704","0.172073533325499","0.115645170625202","-0.0253184684398053","0.124881742618945","0.0153415038466881","0.035045949311238","0.325541370327626","0.137011002104051","0.00149750508255565","0.149087637028167","0.222094764969888","0.169816151581357","0.0145083011005808","-0.0996658250531176","-0.43594368051196","0.156583494852849","0.121838908094534","0.211807194120362","0.0675834611891925","0.178667167600597","0.187150042848985","0.200090953964399","0.0981802548732321","0.000889295543990791","0.155291467541084","0.124409268855442","0.176188464342264","-0.000458349708061858","0.13318808996391","0.210631087803614","0.0641158565808302","0.159481763378068","0.176670136939783"
"54","LMU3R15","0.036206181875641","0.232996856521865","0.11811212303649","0.154040788967306","0.0968630176998432","0.0639751491638601","-0.0720208905114581","-0.129510349572361","0.172623268809742","0.0124961549995552","0.103179913914439","0.151139637131913","0.159835137404379","0.123666472370137","0.221040842149534","0.155545702298359","0.0586842206738441","0.130458615871717","0.164676007776145","-0.241426647408355","0.0907215865756337","0.0422767907775613","0.159402986870802","0.147507943172189","0.130037715690452","0.0601438091070139","0.137460639705763","0.142039444539806","0.0332432616323","0.0248799149718268","0.135975841640781","0.188137482152913","0.344876517562804","0.1873474372546","0.307950302952438","0.21092510680072","0.065920737800887","0.211685496794865","0.0461845027374639","-0.162397637116289","0.0843798259793045","0.161616516121089","0.111390531525309","-0.0130851290005031","0.11309822468026","0.015645622736253","0.0402631191377262","0.314413698816782","0.123875836057715","-0.00477568823787132","0.138296636032322","0.208569977617288","0.158964141786949","0.0245404259523631","-0.086079181015859","-0.406855610578024","0.151413634514003","0.110073828170273","0.209073344368864","0.0697371283810171","0.16678281159061","0.185479892001428","0.185685260182869","0.0973257089792788","0.00794397719546913","0.143542294045796","0.108528026654111","0.161377946457411","0.00476135687687725","0.131017517323734","0.208055059765095","0.0605326469747995","0.1375364089623","0.165533966519994"
"55","LMU3R16","0.0360242723731179","0.22537805477745","0.109111988039711","0.138451592147824","0.0937593692173671","0.0663964219400947","-0.0552715807424644","-0.113394776545969","0.157959881483941","0.00773035842416349","0.110013286625123","0.141590780442393","0.140568453682379","0.124516442169351","0.213590101794591","0.13909995007032","0.0566065174427942","0.120405839329281","0.151398345952019","-0.221645455251095","0.0873302789395454","0.0375976363318143","0.159555291337685","0.13790719204247","0.12419591031526","0.0594480335679279","0.128369648262193","0.141163331889248","0.0379683252302154","0.0210367622952201","0.127611506565645","0.180860885577942","0.324997737577445","0.17159919353226","0.292688745232304","0.204093721932831","0.065440516273306","0.197800905213487","0.0566395901792277","-0.155632748744093","0.0906188182862426","0.152093325240875","0.10505273633518","-0.0143175370780684","0.105870988383398","0.0259837562616335","0.0490924606147054","0.299934019581208","0.111351711650184","-0.00465991135490971","0.120388793831011","0.19729927289433","0.147674990719172","0.0249235186176486","-0.0643273420021292","-0.375189946948555","0.146106541381531","0.106616716954171","0.207364791847458","0.0633627730507483","0.158367709885625","0.175420966997511","0.170620222110729","0.101409866517302","0.0118810735576223","0.137981904396984","0.102078814682614","0.154874119793466","0.00265785234300079","0.11701706383537","0.19300560142332","0.0592359072896325","0.125725647230563","0.150337004919993"
"56","LMU3R17","0.0317202348291374","0.223782143390184","0.0958878802183166","0.127042812929149","0.0898829422954829","0.0537016275897945","-0.0426665041557811","-0.109537813506277","0.150249265110944","0.0122416641493933","0.111395623916542","0.135243668410201","0.127326720212976","0.11081208131066","0.204320654055963","0.127903220898345","0.0618375452642679","0.104081074883849","0.152397612916887","-0.188579917527694","0.0834404663907447","0.0285470398615753","0.152017414251561","0.124749259277207","0.11505745931416","0.0628595025572081","0.128121560488142","0.130510912886098","0.0442230901344829","0.0127977786896601","0.120492974175936","0.174147030579607","0.316069417270664","0.155920269884895","0.276127560277057","0.18808219623991","0.063535119953687","0.182570410014602","0.0533830093660858","-0.141303505549455","0.0914594182823312","0.147817132343906","0.0972519555629995","-0.0165271247936671","0.100958942666362","0.0455357743684364","0.0408346528904459","0.285159452350132","0.109805357173652","0.00235089261154881","0.111442001602565","0.186225782081306","0.137659543399086","0.03356215222181","-0.0546041372872349","-0.344783813872246","0.136484238225036","0.10079307459019","0.202515376374337","0.0609151942732437","0.14894462941724","0.161577503061108","0.16531665443887","0.100100748729222","0.00950741356149761","0.128538756690143","0.0971673082917283","0.141504096322089","-0.00154740297579711","0.105322793772531","0.180191323250864","0.0707457019802356","0.108422254835868","0.142579068713224"
"57","LMU3R18","0.0308104145185548","0.219813448606263","0.0913401611032798","0.115927413071272","0.0882568849719916","0.0475686686021162","-0.0392713981444629","-0.0958480485294539","0.144226971482806","0.0087607507611427","0.104654591269963","0.129328601656268","0.121533633453657","0.108219108228189","0.192529593402174","0.114534667073914","0.0570699022034906","0.0927008097750908","0.151527436454492","-0.169313113232827","0.079952802050544","0.0143782238388809","0.143887645049122","0.121232530378979","0.105685850415732","0.0658963560239128","0.128027541475966","0.122130430326055","0.0439879592686275","0.0166616342509459","0.116331741174138","0.162050742665051","0.304109521896615","0.145231845706631","0.264873367019194","0.173368217804554","0.0618680030992349","0.175360015779762","0.0631573805800248","-0.131067933390659","0.0936578125571802","0.135421642243676","0.0872534428025046","-0.00598267670351636","0.0943884126196719","0.0500163405958477","0.0378448020508099","0.267830035736343","0.104168457222437","0.0057062094493489","0.0965970615627864","0.174740803827579","0.128540112955666","0.036627769438141","-0.0401000654378959","-0.326577744703908","0.123662637524967","0.0865159901903925","0.195576125028298","0.0688914023852267","0.139461344311322","0.14869526692198","0.157955416395487","0.104404823412332","0.00970517400835535","0.124472920269561","0.0907559104245173","0.128379733505396","-0.00421965866125283","0.0981398073877186","0.17805855991641","0.0732589848721219","0.101551615853404","0.140153365118422"
"58","LMU3R19","0.0354851000863252","0.212894860534198","0.0850088837209207","0.106407232129892","0.0834932463258958","0.0412587549255489","-0.027030900914481","-0.0884347135085972","0.141262594002901","0.0133201325825192","0.108351035278948","0.121672604451178","0.114035654268972","0.0979210427545345","0.184258233402617","0.102815463925932","0.0569039045378254","0.086978911418934","0.148577024706792","-0.158269451642875","0.0733920878229128","0.00807849648392294","0.138495084438504","0.118439965483399","0.10166305293968","0.0620010154021206","0.127706265238818","0.114015713544974","0.048051565556892","0.0145449943701492","0.107390120381852","0.160699892718322","0.285799343318781","0.130164879730494","0.244741792108663","0.158309585178441","0.0595634563497702","0.165758417009277","0.0659363601975029","-0.121667735150783","0.0898133428515613","0.13150704554576","0.0893759582945847","-0.00259264405915126","0.0944471837913807","0.0488463894476094","0.030719137426446","0.258495895372658","0.097535202050084","0.00839618210583199","0.0963278586858154","0.165501078727683","0.122813578840474","0.0366913805899113","-0.0277759231493457","-0.307601545148769","0.115307538294143","0.0802527065234835","0.18795320082089","0.0745262488981375","0.129388657369868","0.142320575287534","0.146058545081405","0.102097405179851","0.0134770080151265","0.121811443600049","0.0867582089550273","0.117806664640536","-0.00227132427809734","0.0883943383801739","0.177975977796931","0.0699021284591828","0.0902407281177581","0.131578205504858"
"59","LMU3R20","0.0381004779366976","0.204446997230261","0.0779401841913396","0.10003477057395","0.0900168239307343","0.0379513996758036","-0.0244198345799882","-0.0865927838535936","0.130858895186628","0.0140069436037606","0.105489704925351","0.117008618097885","0.1030583877541","0.0953349546018231","0.182435611150066","0.0905282797707363","0.0554604692195697","0.0825807333477962","0.147225488239782","-0.146444584449192","0.0694662536223289","0.00148033906779013","0.126243149054648","0.109168605175439","0.099506205096366","0.0596282184188923","0.123784813102872","0.104529825008196","0.0553267009132526","0.0138750253115832","0.111620144254581","0.151592966422175","0.270817025710494","0.120959531033064","0.230029447140856","0.146162535944343","0.0638157113129893","0.154272645370207","0.0684302899367036","-0.114394059546001","0.0876473065011862","0.117560895417029","0.0843340045162251","-0.00213960762753648","0.0836221637113144","0.0523242218906952","0.0259875900881476","0.246943295891431","0.0924347832491073","0.0112758591237243","0.088909577002645","0.149623722183337","0.115292141796005","0.0422356908841137","-0.0295033245129369","-0.299223957342486","0.108346568426172","0.0854793965439131","0.17885080254069","0.0785063496423422","0.117998188433986","0.132601302995165","0.13149178407884","0.0983103030068914","0.007397014867619","0.122520514190126","0.0774966219902595","0.108904892375954","0.00758574150297373","0.087593435206972","0.166993700679876","0.0678961982927871","0.0872186630258951","0.12319670625924"
"60","LMU3R21","0.0393049509730374","0.194718563238263","0.0672020194124219","0.0968240175681466","0.0913491981571981","0.0318563574450186","-0.0226650541540987","-0.0784074118809117","0.120708659842068","0.0147036426724099","0.103431069120067","0.108741170103034","0.0909248823693571","0.0867985671262321","0.16932829601791","0.0845643682736932","0.0542896835397663","0.0807671978127307","0.134789190361539","-0.137294600339398","0.0649430903968918","-0.00344250528560629","0.119548311196898","0.102424172922668","0.0919391054877316","0.0558381590964792","0.11943488413069","0.101645207396111","0.049807624809047","0.0140037217554318","0.108090953965668","0.145450998145424","0.255096005600208","0.109492400260101","0.212726673047738","0.133918060288435","0.061734155473878","0.148082104836892","0.0668225667586236","-0.108445356639982","0.0905162701325126","0.111217152266054","0.0857969773535635","-0.00131318691708819","0.0725805304656425","0.0521903575339708","0.0201284388430988","0.229310305796117","0.0824185051876363","0.00885818737144667","0.0879960855064348","0.138924947595979","0.11130090865888","0.0429740797818878","-0.0326813417848818","-0.275629691292355","0.0950703551614397","0.0800935528020114","0.17752884922599","0.0783829639877588","0.108756942642003","0.12234218713068","0.117191252159988","0.103778826100083","0.0112382098554664","0.11547323871153","0.0657217655020261","0.0963301880121289","0.00320857821267319","0.080700747177678","0.160913029754838","0.0709272818768929","0.0821167463529552","0.116614068831893"
