"","Names","ALB","ARE","ARG","AUS","AUT","BEL","BGR","BIH","BLR","BRA","BRN","CAN","CHE","CHL","COL","CRI","CZE","DEU","DNK","DOM","ESP","EST","FIN","FRA","GBR","GEO","GRC","HRV","HUN","IDN","IRL","ISL","ISR","ITA","JOR","JPN","KAZ","KOR","KSV","LBN","LTU","LUX","LVA","MAR","MDA","MEX","MKD","MLT","MNE","MYS","NLD","NOR","NZL","PAN","PER","PHL","POL","PRT","QAT","ROU","RUS","SAU","SGP","SRB","SVK","SVN","SWE","TAP","THA","TUR","UKR","URY","USA","VNM"
"11","Mean Diff","-4.91038259079539","-8.86684924555561","15.4309911841266","6.02715035112456","13.2826596962716","12.0847696411886","-1.62702794302438","2.59080006758682","6.26160091763581","8.6022142719851","-7.59543455759217","4.90476478128513","7.06172526040612","7.46503426096375","19.5218943390248","17.6672317052147","3.51494305923403","7.06159574360912","3.88461900114064","-3.14585527993896","6.43228469687328","8.45098784077218","-6.09327977554568","6.36022276001151","12.1757174705713","-4.26518372541042","0.322329627005359","8.62146800410388","8.8131421543799","-9.71219816580039","5.94739494170569","-9.81461498576583","-9.19272696088823","15.5419872417793","-6.15200367545715","10.1214920911519","1.29192900981781","4.04214293701718","4.21740071412938","0.313631637728497","-2.47111082996554","7.4899762917525","6.76824832535158","0.858991650995659","-2.0749289998917","11.7521795997649","-7.39632077256094","-12.8295422188983","8.23989154819924","-6.72081471524752","1.36332290120624","-7.0069354229814","8.86649275420133","7.65810181544403","16.3290960007869","-11.6475570056241","1.399572787256","9.01833535755943","-23.9860645621801","5.23590543590751","4.69735927470361","-13.0480085099411","4.14786118600522","2.90552004057118","4.55710199406994","0.600199167350934","-1.24964806411937","3.54403920978671","-15.9710375611102","4.9428565648142","6.99582150670498","8.3326453376991","8.61147603184951","-1.72323615327005"
"12","Median Diff","-7.21696694544721","-11.6783267835741","16.1875941494781","7.08462120404079","10.8101269687436","11.1492932666012","-3.55986549942808","-1.17972924019955","6.21228538168846","6.11406881715726","-8.11312323706005","4.87218247858884","6.08570008813922","7.68921434260101","20.024018545455","17.633465919544","1.87620916108825","7.56826156275167","5.41780673435065","-5.82234770492596","5.73345399053099","9.40599776785953","-7.89350854400295","6.59534494902234","13.3432639202297","-4.7613503297258","-1.54522973122433","7.06694390408924","7.70044506389403","-9.95969887069498","5.60327019446104","-9.44179927281862","-10.1630840837853","18.0344138111303","-4.33571845753887","11.4954657131443","0.443363567813321","5.22612826300758","1.52362158176327","-2.02527004008184","-4.27083869769505","8.10956479770647","5.72053864601531","-2.91573255139788","-1.9633841150062","10.2889730734657","-7.92560930499175","-12.2823799497358","8.02058946188156","-8.16989360172481","0.692124172398201","-6.01261736301818","8.43066650497673","6.99147015597103","13.8535645303322","-14.4140918228374","2.48056075664776","8.02013784601101","-31.7952648857368","3.03370710214695","6.20493975362254","-15.0709930540586","6.22609136027984","0.201883114680777","1.31388250930066","0.811539212033392","-1.66012989296308","6.7204805417938","-17.6010352333731","6.5216255135089","9.54801707609002","7.65823488308329","11.5113895962993","-2.19119493267423"
"13","d","-0.0591373262744013","-0.0838912823448911","0.184237405340364","0.0654967231018787","0.14249983423524","0.126957198609816","-0.0167485398490654","0.0315989388212136","0.0675211336031438","0.09842554229279","-0.08317555404724","0.0531578167834758","0.074924818460285","0.0883524427842463","0.242133034900177","0.2380208682194","0.0377458086231928","0.0742884826835651","0.0471453322591521","-0.0437883099989928","0.07280521938242","0.103616592963031","-0.074005051922644","0.0687950042751013","0.131077398140624","-0.048256960632083","0.00360402815867951","0.0997710449353026","0.096858815040845","-0.122619156064439","0.0765392149305858","-0.109043115897301","-0.0844107415274348","0.166508586318473","-0.0721004749219063","0.117087591476488","0.0148656814517027","0.0403652075485547","0.0544887510502602","0.00295664530239769","-0.0270469125247181","0.0762884522377984","0.0842479229624912","0.0113899460198104","-0.0220426040245658","0.151929031964131","-0.0791893690647291","-0.126566669710517","0.0992554374778121","-0.0809213194416509","0.0146170587985401","-0.0775027962196653","0.095271617361381","0.0989098658684632","0.194414956054172","-0.148368216509846","0.0156134667996702","0.0937264612475012","-0.246685300017718","0.0556966798930664","0.054636891072734","-0.166664728091014","0.0441721044019294","0.0301630751764286","0.0457968752277611","0.00675310880203348","-0.0137593407605223","0.0354602710074538","-0.18233503683813","0.0561640293005941","0.0746695139876381","0.0976307777481182","0.0936470229804355","-0.0229638323438447"
"14","U3","0.467268283040983","0.463406602791402","0.571587924232609","0.529265761939829","0.538499217966525","0.541093963876679","0.486902447941846","0.493781269256601","0.524682072482827","0.526684758979889","0.467657728329204","0.520878977599138","0.524225914038966","0.534158580298399","0.592029728993817","0.59584362060801","0.506626544704739","0.526333877229094","0.525932528682081","0.467894602150606","0.524056664578313","0.544747565928455","0.465468817799735","0.523747894293706","0.553680527108416","0.477940959918697","0.492700805099745","0.531445748913447","0.530798160876458","0.44904258230014","0.528598834164352","0.461341356442271","0.467325456740896","0.571636296127857","0.482420372765509","0.547043686200651","0.501396300361824","0.51890838060905","0.506947493894312","0.493260777064689","0.483348449792771","0.529157511469068","0.52702427929172","0.484051720650557","0.492424893995646","0.550420034922604","0.465723140226103","0.455559393910127","0.534894290833992","0.461217678219149","0.501988337906644","0.475222355342654","0.533684489053116","0.533916472153033","0.561547445237278","0.427289162047162","0.51047871233419","0.53102498463085","0.393932345968772","0.511974794781256","0.526699681179156","0.429782022708819","0.524501846852499","0.500851740970286","0.504129785843702","0.503568378984757","0.493107176666732","0.52459689112901","0.421639505477847","0.528789924971991","0.538984046546333","0.534070489594486","0.54479460167549","0.488462158967452"
"15","PS","0.48010880299814","0.472869003162992","0.551292345784411","0.519495160397348","0.538901497812514","0.534739828661883","0.492927162941443","0.503852180843255","0.519563765163911","0.522817450260989","0.473489216310502","0.514574024785064","0.519180483758359","0.524374608646318","0.566686069941263","0.567479554392653","0.506971700059781","0.520262585970765","0.514927109661141","0.481494670239737","0.520057100246292","0.530126734233516","0.477987947148486","0.520075076128879","0.537386776155506","0.484353338071626","0.498707173964373","0.525644720531989","0.52525780598814","0.464368003835216","0.521382212007972","0.470692949906057","0.479132299938548","0.550268146894859","0.482378357817815","0.535672088099114","0.50282636972223","0.511312904169151","0.509175976463156","0.498822820323087","0.491456411618469","0.520628495821618","0.5231605160192","0.497681543345869","0.49483050487637","0.540764142335481","0.477016693018326","0.46621751230568","0.527219699658892","0.475403642759785","0.503067224857683","0.481109796374163","0.527078841727656","0.525808805671525","0.549990438157277","0.452567995636044","0.506027095552218","0.525836929239662","0.421454282690873","0.512753605060434","0.516208920369211","0.449159264022575","0.516117105589006","0.5051196691741","0.509269141341603","0.501963555234434","0.496094430722615","0.515037766524366","0.445576217067799","0.516545386561753","0.522366617935813","0.526472998570848","0.528103932540384","0.493898067211593"
"16","SDR","1.05165983086879","1.17788146026494","1.08185865708651","1.0707161195457","1.09582124585334","1.03647655534638","1.07330171847187","1.04349684850001","1.08343001693905","1.07920836010558","1.09020057353543","1.05652322189264","1.00894813498253","1.08286149301981","1.07669420133548","1.00143399777897","1.03807071510383","1.06077293360431","1.07247106701267","1.05370354084057","1.05983582014958","1.08383103972324","1.08643639301535","1.06765679157009","1.03993952893485","1.07154773005871","1.09719245406446","1.06633656703614","1.02221845731097","1.00647400599955","1.07156098656321","1.10385509458438","1.19699684382092","1.09107275041739","1.13779792478246","1.10202383387023","1.07803498003637","1.06440524813144","1.11214800155299","1.04669982365312","1.10034913677243","1.0329262005741","1.06531507647957","1.0396588900965","1.07187991717997","1.04787913122642","1.01569566630304","1.14284887766719","1.07477220927285","1.05766528910196","1.06789907674205","1.09671009904827","1.06807843421744","1.06721210396917","1.07843283821475","1.07226140665428","1.06113618799622","1.08189347804396","1.21503665883702","1.05385078515128","1.05440600667866","1.10154674660482","1.07984453992543","1.05637472169802","1.02814687768871","1.05041234542814","1.04526899618432","1.0964412870394","1.04648631559566","1.03890064757759","1.07586359162209","1.06190112309035","1.07069445516751","1.07992107986263"
"17","SDR_L","1.023946470711","1.15308165733549","1.08808453236837","1.08189050320277","1.06671433273914","1.0250683791123","1.05644445374615","0.999011292284109","1.08513914856781","1.05362320005493","1.08218481449904","1.05024674948447","0.995275318932351","1.08603001969563","1.08031001888194","1.00317859284263","1.00849658060132","1.04990651699726","1.08382985339537","1.01006452720786","1.048506212038","1.09472991083388","1.05820286975252","1.05949403644749","1.04669055321542","1.06103566854287","1.06646653604576","1.0500480810235","1.00550315642179","1.00384633089282","1.06598938823877","1.10100884792441","1.17822805273494","1.11360141844318","1.16109203048382","1.11594157010731","1.06721071980119","1.05894012715062","1.06795776769344","1.03018219477387","1.08166253523003","1.03135176652363","1.05728707853677","0.991807154451738","1.08246234539001","1.0294823400869","1.00774768192061","1.1255852707802","1.07492159248467","1.04132199537398","1.04943234498332","1.10797392607966","1.06597504950639","1.05457212549256","1.04607272131425","1.03217762223739","1.07271622243114","1.0608344004812","1.14526823112012","1.02986548712405","1.06214965221561","1.07145234913885","1.088246318877","1.02984803669688","0.990376593005979","1.04960431878778","1.03889956353573","1.1225866307869","1.02808910286021","1.05474293425824","1.09338255821665","1.05375361485307","1.09603756699558","1.08018891984236"
"18","SDR_R","1.07981656854654","1.20268970241381","1.07556628053501","1.05965922556006","1.12661567088638","1.04843499457427","1.0901601190277","1.08900806677083","1.08167757729177","1.10330823938875","1.0972799786036","1.06304779427963","1.02306866038754","1.0797740098825","1.07294058733903","0.999878243138763","1.06905934764069","1.07260506471969","1.06110190886639","1.09626176356024","1.0717122679599","1.07294082051627","1.11654580100487","1.07661152894958","1.03319549688891","1.08189476056072","1.12934822104944","1.08277248262725","1.03973311663706","1.00909529213908","1.07737330136347","1.10727288275893","1.2167443854993","1.06822698692112","1.11472034674867","1.08774852242479","1.08893544601123","1.07095829089214","1.15613117158011","1.06312680317573","1.11942463506735","1.03470511490117","1.07332824405661","1.08787630944362","1.06167882642483","1.06641505061832","1.02372522243915","1.16180626589577","1.07466393666157","1.07403492747784","1.08805110218394","1.08516455497624","1.07009030344436","1.07940127019935","1.11076409427024","1.1124471426283","1.04951563335364","1.10449475259157","1.28584206869042","1.07819848352307","1.04680863999021","1.13153223595907","1.07111827151976","1.08320581880685","1.06987509636983","1.05143195678844","1.05183683434835","1.06919746884956","1.06436761867897","1.02362337489117","1.05870809807152","1.07017914948231","1.04587799460109","1.07957737190035"
"19","MADR","1.04345476031188","1.23556447550508","1.09718036752767","1.07101969655669","1.14877435147731","1.04535428823232","1.0607781873686","1.0326519514464","1.09370959681894","1.09831488127132","1.11258470366924","1.08238445483436","0.992769804841159","1.09479534821849","1.10321641811037","0.994335185996706","1.04526839469947","1.08887311376077","1.0842105104256","1.06976479494018","1.09122864660001","1.09128530779797","1.1360684705083","1.08506158476755","1.04104875097763","1.08238844149762","1.12494162199451","1.08269838490077","1.04451815710348","1.00713624848705","1.07894508590924","1.10721740028725","1.26004960500632","1.12767525283402","1.15953175386297","1.11309184146859","1.086381439369","1.08868905598936","1.11817107395039","1.0810264378708","1.13637606239706","1.02326790865009","1.07756737550408","1.02412887401601","1.10831418903938","1.0717637884307","0.982257057251719","1.24694892668415","1.09866165914376","1.02969663226485","1.07047162591003","1.11672335500041","1.09311517147531","1.0753614369178","1.06916783416002","1.06235470143082","1.10401493481734","1.13347385248775","1.26653376471539","1.05944882592935","1.07433299601503","1.12088729466826","1.09103533388578","1.08711329304614","1.06305765897547","1.06630689211568","1.03927199806264","1.11157392385573","1.03834180510489","1.03322030067517","1.08786766931216","1.10047345908783","1.07113826446936","1.06658138162581"
"20","MADR_L","1.03412860231301","1.20781510283982","1.10458672868848","1.0866368784913","1.11003742972395","1.02122041262244","1.04319839761422","0.991042894261364","1.0835365375314","1.08065635943426","1.13096365352964","1.08674380986611","0.986309641459565","1.09648498621223","1.12439412901803","0.992954980346787","1.05879666047749","1.09838769408015","1.11482225140347","1.05050130449895","1.0809390663795","1.11627969294515","1.09257853663985","1.0930743063935","1.06570310748792","1.08770206864342","1.11107215357758","1.07349176577725","1.04106813500495","0.998397877012246","1.08839331158011","1.1157454659998","1.2333457306356","1.1687469802237","1.17370278106502","1.13209213001224","1.07291157160718","1.12286596959217","1.08673892971637","1.05141352666045","1.10144937907567","1.0389803871009","1.05819562594647","0.976002293779813","1.09324992407074","1.05332627829028","0.970943671901212","1.27491116072942","1.09741391039105","1.01412774099301","1.06801481296756","1.12667650361043","1.07703131868936","1.08238324707452","1.04772790155978","1.0391404601461","1.11728831841021","1.11287719108995","1.1764362765056","1.04076301038853","1.11118923572795","1.09919146364548","1.11101670698244","1.0593071378091","1.03738239212871","1.07169659877526","1.03062540070447","1.14100285736006","1.01598804949233","1.06726320713907","1.14697163879669","1.0972185649347","1.12145400476356","1.05391683579592"
